DATA_TYPE Graph
VERSION Tekscan Pressure Measurement System 7.50-09
HARDWARE 102-D849
MAP_VERSION 6.5
HW_TYPE 3
VersaPogoFsx 0
VersaV6CuffFsx 0
FILENAME C:\Users\mharty\Documents\Customers\Xpolsion Tech\JameJ04 trial 1 squat.fsx
SENSOR_TYPE 3150
ROWS 44
COLS 52
ROW_SPACING 0.8382 centimeters
COL_SPACING 0.8382 centimeters
SENSEL_AREA 0.702579 cm2
NOISE_THRESHOLD 3
SECONDS_PER_FRAME 0.016667
MICRO_SECOND 1
TIME 1/4/2020 11:19:59.478PM
SATURATION_PRESSURE 81.206 PSI 
CALIBRATION_POINT_1 77.1107 (Kilograms) 4902 (Raw Sum) 193 (Number of Loaded Cells)
CALIBRATION_MODE_1 Step
CALIBRATION_INFO C:\Users\mharty\Documents\Customers\Xpolsion Tech\JameJ04 trial 1 squat.fsx
SENSITIVITY Custom (125/250@1x)
MAP_INDEX 0
SUBMAP 0
START_FRAME 1
END_FRAME 480
UNITS Kilograms
ASCII_DATA @@
Frames(X), Time(X), Absolute Time(X), Raw Sum, Force(Y:green)
74, 1.216, 1/4/2020 11:20:00.694PM, 3249.0, 37.70
75, 1.233, 1/4/2020 11:20:00.711PM, 3186.0, 36.98
76, 1.249, 1/4/2020 11:20:00.728PM, 3093.0, 35.88
77, 1.266, 1/4/2020 11:20:00.744PM, 3023.0, 35.08
78, 1.283, 1/4/2020 11:20:00.761PM, 2960.0, 34.37
79, 1.299, 1/4/2020 11:20:00.777PM, 2927.0, 34.02
80, 1.316, 1/4/2020 11:20:00.794PM, 2876.0, 33.42
81, 1.333, 1/4/2020 11:20:00.811PM, 2786.0, 32.38
82, 1.349, 1/4/2020 11:20:00.827PM, 2666.0, 30.95
83, 1.366, 1/4/2020 11:20:00.844PM, 2590.0, 30.05
84, 1.383, 1/4/2020 11:20:00.861PM, 2454.0, 28.42
85, 1.399, 1/4/2020 11:20:00.877PM, 2362.0, 27.34
86, 1.416, 1/4/2020 11:20:00.894PM, 2285.0, 26.44
87, 1.433, 1/4/2020 11:20:00.911PM, 2249.0, 26.03
88, 1.449, 1/4/2020 11:20:00.927PM, 2218.0, 25.67
89, 1.466, 1/4/2020 11:20:00.944PM, 2220.0, 25.70
90, 1.483, 1/4/2020 11:20:00.961PM, 2209.0, 25.56
91, 1.499, 1/4/2020 11:20:00.977PM, 2241.0, 25.93
92, 1.516, 1/4/2020 11:20:00.994PM, 2259.0, 26.16
93, 1.533, 1/4/2020 11:20:01.011PM, 2293.0, 26.58
94, 1.549, 1/4/2020 11:20:01.027PM, 2333.0, 27.04
95, 1.566, 1/4/2020 11:20:01.044PM, 2405.0, 27.88
96, 1.583, 1/4/2020 11:20:01.061PM, 2484.0, 28.81
97, 1.599, 1/4/2020 11:20:01.077PM, 2559.0, 29.68
98, 1.616, 1/4/2020 11:20:01.094PM, 2602.0, 30.16
99, 1.633, 1/4/2020 11:20:01.111PM, 2657.0, 30.87
100, 1.649, 1/4/2020 11:20:01.127PM, 2660.0, 30.76
101, 1.666, 1/4/2020 11:20:01.144PM, 2694.0, 31.19
102, 1.683, 1/4/2020 11:20:01.161PM, 2738.0, 31.68
103, 1.699, 1/4/2020 11:20:01.177PM, 2779.0, 32.16
104, 1.716, 1/4/2020 11:20:01.194PM, 2836.0, 32.82
105, 1.733, 1/4/2020 11:20:01.211PM, 2889.0, 33.46
106, 1.749, 1/4/2020 11:20:01.227PM, 2955.0, 34.21
107, 1.766, 1/4/2020 11:20:01.244PM, 3007.0, 34.82
108, 1.783, 1/4/2020 11:20:01.261PM, 3055.0, 35.35
109, 1.799, 1/4/2020 11:20:01.277PM, 3118.0, 36.05
110, 1.816, 1/4/2020 11:20:01.294PM, 3199.0, 36.98
111, 1.832, 1/4/2020 11:20:01.311PM, 3234.0, 37.34
112, 1.849, 1/4/2020 11:20:01.327PM, 3231.0, 37.26
113, 1.866, 1/4/2020 11:20:01.344PM, 3228.0, 37.19
114, 1.883, 1/4/2020 11:20:01.361PM, 3216.0, 37.01
115, 1.899, 1/4/2020 11:20:01.377PM, 3229.0, 37.18
116, 1.916, 1/4/2020 11:20:01.394PM, 3246.0, 37.38
117, 1.932, 1/4/2020 11:20:01.411PM, 3301.0, 38.07
118, 1.949, 1/4/2020 11:20:01.427PM, 3314.0, 38.19
119, 1.966, 1/4/2020 11:20:01.444PM, 3339.0, 38.45
120, 1.982, 1/4/2020 11:20:01.461PM, 3350.0, 38.57
121, 1.999, 1/4/2020 11:20:01.477PM, 3374.0, 38.85
122, 2.016, 1/4/2020 11:20:01.494PM, 3395.0, 39.07
123, 2.032, 1/4/2020 11:20:01.51PM, 3385.0, 38.91
124, 2.049, 1/4/2020 11:20:01.527PM, 3413.0, 39.26
125, 2.066, 1/4/2020 11:20:01.544PM, 3431.0, 39.47
126, 2.082, 1/4/2020 11:20:01.56PM, 3431.0, 39.46
127, 2.099, 1/4/2020 11:20:01.577PM, 3432.0, 39.45
128, 2.116, 1/4/2020 11:20:01.594PM, 3427.0, 39.36
129, 2.132, 1/4/2020 11:20:01.61PM, 3427.0, 39.36
130, 2.149, 1/4/2020 11:20:01.627PM, 3449.0, 39.62
131, 2.166, 1/4/2020 11:20:01.644PM, 3463.0, 39.78
132, 2.182, 1/4/2020 11:20:01.66PM, 3491.0, 40.10
133, 2.199, 1/4/2020 11:20:01.677PM, 3506.0, 40.26
134, 2.216, 1/4/2020 11:20:01.694PM, 3525.0, 40.46
135, 2.232, 1/4/2020 11:20:01.71PM, 3517.0, 40.36
136, 2.249, 1/4/2020 11:20:01.727PM, 3509.0, 40.26
137, 2.266, 1/4/2020 11:20:01.744PM, 3496.0, 40.11
138, 2.282, 1/4/2020 11:20:01.76PM, 3483.0, 39.94
139, 2.299, 1/4/2020 11:20:01.777PM, 3470.0, 39.79
140, 2.316, 1/4/2020 11:20:01.794PM, 3483.0, 39.93
141, 2.332, 1/4/2020 11:20:01.81PM, 3480.0, 39.89
142, 2.349, 1/4/2020 11:20:01.827PM, 3499.0, 40.10
143, 2.366, 1/4/2020 11:20:01.844PM, 3504.0, 40.16
144, 2.382, 1/4/2020 11:20:01.86PM, 3504.0, 40.15
145, 2.399, 1/4/2020 11:20:01.877PM, 3510.0, 40.20
146, 2.416, 1/4/2020 11:20:01.894PM, 3518.0, 40.31
147, 2.432, 1/4/2020 11:20:01.91PM, 3504.0, 40.14
148, 2.449, 1/4/2020 11:20:01.927PM, 3493.0, 39.99
149, 2.466, 1/4/2020 11:20:01.944PM, 3481.0, 39.85
150, 2.482, 1/4/2020 11:20:01.96PM, 3471.0, 39.72
151, 2.499, 1/4/2020 11:20:01.977PM, 3460.0, 39.57
152, 2.516, 1/4/2020 11:20:01.994PM, 3458.0, 39.54
153, 2.532, 1/4/2020 11:20:02.01PM, 3436.0, 39.28
154, 2.549, 1/4/2020 11:20:02.027PM, 3426.0, 39.15
155, 2.566, 1/4/2020 11:20:02.044PM, 3432.0, 39.21
156, 2.582, 1/4/2020 11:20:02.06PM, 3432.0, 39.23
157, 2.599, 1/4/2020 11:20:02.077PM, 3420.0, 39.07
158, 2.616, 1/4/2020 11:20:02.094PM, 3415.0, 39.01
159, 2.632, 1/4/2020 11:20:02.11PM, 3377.0, 38.57
160, 2.649, 1/4/2020 11:20:02.127PM, 3315.0, 37.84
161, 2.665, 1/4/2020 11:20:02.144PM, 3190.0, 36.37
162, 2.682, 1/4/2020 11:20:02.16PM, 3042.0, 34.66
163, 2.699, 1/4/2020 11:20:02.177PM, 2840.0, 32.32
164, 2.715, 1/4/2020 11:20:02.194PM, 2635.0, 29.95
165, 2.732, 1/4/2020 11:20:02.21PM, 2481.0, 28.19
