DATA_TYPE Graph
VERSION Tekscan Pressure Measurement System 7.50-09
HARDWARE 102-D849
MAP_VERSION 6.5
HW_TYPE 3
VersaPogoFsx 0
VersaV6CuffFsx 0
FILENAME C:\Users\mharty\Documents\Customers\Xpolsion Tech\JameJ04 trial 1 squat.fsx
SENSOR_TYPE 3150
ROWS 44
COLS 52
ROW_SPACING 0.8382 centimeters
COL_SPACING 0.8382 centimeters
SENSEL_AREA 0.702579 cm2
NOISE_THRESHOLD 3
SECONDS_PER_FRAME 0.016667
MICRO_SECOND 1
TIME 1/4/2020 11:19:59.478PM
SATURATION_PRESSURE 81.206 PSI 
CALIBRATION_POINT_1 77.1107 (Kilograms) 4902 (Raw Sum) 193 (Number of Loaded Cells)
CALIBRATION_MODE_1 Step
CALIBRATION_INFO C:\Users\mharty\Documents\Customers\Xpolsion Tech\JameJ04 trial 1 squat.fsx
SENSITIVITY Custom (125/250@1x)
MAP_INDEX 0
SUBMAP 0
START_FRAME 1
END_FRAME 480
UNITS Kilograms
ASCII_DATA @@
Frames(X), Time(X), Absolute Time(X), Raw Sum, Force(Y:green)
320, 5.314, 1/4/2020 11:20:04.792PM, 3170.0, 37.46
321, 5.331, 1/4/2020 11:20:04.809PM, 3172.0, 37.48
322, 5.348, 1/4/2020 11:20:04.826PM, 3174.0, 37.50
323, 5.364, 1/4/2020 11:20:04.842PM, 3165.0, 37.36
324, 5.381, 1/4/2020 11:20:04.859PM, 3173.0, 37.43
325, 5.398, 1/4/2020 11:20:04.876PM, 3163.0, 37.28
326, 5.414, 1/4/2020 11:20:04.892PM, 3159.0, 37.21
327, 5.431, 1/4/2020 11:20:04.909PM, 3175.0, 37.41
328, 5.448, 1/4/2020 11:20:04.926PM, 3181.0, 37.44
329, 5.464, 1/4/2020 11:20:04.942PM, 3179.0, 37.39
330, 5.481, 1/4/2020 11:20:04.959PM, 3149.0, 36.98
331, 5.498, 1/4/2020 11:20:04.976PM, 3095.0, 36.30
332, 5.514, 1/4/2020 11:20:04.992PM, 3042.0, 35.63
333, 5.531, 1/4/2020 11:20:05.009PM, 3012.0, 35.34
334, 5.548, 1/4/2020 11:20:05.026PM, 2972.0, 34.82
335, 5.564, 1/4/2020 11:20:05.042PM, 2926.0, 34.20
336, 5.581, 1/4/2020 11:20:05.059PM, 2874.0, 33.54
337, 5.598, 1/4/2020 11:20:05.076PM, 2798.0, 32.60
338, 5.614, 1/4/2020 11:20:05.092PM, 2688.0, 31.29
339, 5.631, 1/4/2020 11:20:05.109PM, 2562.0, 29.75
340, 5.648, 1/4/2020 11:20:05.126PM, 2451.0, 28.42
341, 5.664, 1/4/2020 11:20:05.142PM, 2400.0, 27.83
342, 5.681, 1/4/2020 11:20:05.159PM, 2405.0, 27.97
343, 5.698, 1/4/2020 11:20:05.176PM, 2474.0, 28.97
344, 5.714, 1/4/2020 11:20:05.192PM, 2547.0, 29.96
345, 5.731, 1/4/2020 11:20:05.209PM, 2565.0, 30.17
346, 5.747, 1/4/2020 11:20:05.226PM, 2537.0, 29.77
347, 5.764, 1/4/2020 11:20:05.242PM, 2558.0, 29.96
348, 5.781, 1/4/2020 11:20:05.259PM, 2622.0, 30.67
349, 5.797, 1/4/2020 11:20:05.276PM, 2732.0, 31.99
350, 5.814, 1/4/2020 11:20:05.292PM, 2836.0, 33.20
351, 5.831, 1/4/2020 11:20:05.309PM, 2933.0, 34.28
352, 5.847, 1/4/2020 11:20:05.325PM, 2985.0, 34.84
353, 5.864, 1/4/2020 11:20:05.342PM, 2982.0, 34.72
354, 5.881, 1/4/2020 11:20:05.359PM, 2961.0, 34.76
355, 5.897, 1/4/2020 11:20:05.375PM, 2998.0, 35.20
356, 5.914, 1/4/2020 11:20:05.392PM, 3034.0, 35.60
357, 5.931, 1/4/2020 11:20:05.409PM, 3121.0, 36.58
358, 5.947, 1/4/2020 11:20:05.425PM, 3210.0, 37.56
359, 5.964, 1/4/2020 11:20:05.442PM, 3282.0, 38.66
360, 5.981, 1/4/2020 11:20:05.459PM, 3268.0, 38.45
361, 5.997, 1/4/2020 11:20:05.475PM, 3333.0, 39.20
362, 6.014, 1/4/2020 11:20:05.492PM, 3426.0, 40.25
363, 6.031, 1/4/2020 11:20:05.509PM, 3528.0, 41.37
364, 6.047, 1/4/2020 11:20:05.525PM, 3615.0, 42.31
365, 6.064, 1/4/2020 11:20:05.542PM, 3672.0, 42.92
366, 6.081, 1/4/2020 11:20:05.559PM, 3659.0, 42.71
367, 6.097, 1/4/2020 11:20:05.575PM, 3628.0, 42.31
368, 6.114, 1/4/2020 11:20:05.592PM, 3548.0, 41.39
369, 6.131, 1/4/2020 11:20:05.609PM, 3539.0, 41.28
370, 6.147, 1/4/2020 11:20:05.625PM, 3556.0, 41.47
371, 6.164, 1/4/2020 11:20:05.642PM, 3576.0, 41.70
372, 6.181, 1/4/2020 11:20:05.659PM, 3626.0, 42.26
373, 6.197, 1/4/2020 11:20:05.675PM, 3670.0, 42.80
374, 6.214, 1/4/2020 11:20:05.692PM, 3727.0, 43.85
375, 6.231, 1/4/2020 11:20:05.709PM, 3775.0, 44.48
376, 6.247, 1/4/2020 11:20:05.725PM, 3819.0, 45.02
377, 6.264, 1/4/2020 11:20:05.742PM, 3872.0, 45.67
378, 6.281, 1/4/2020 11:20:05.759PM, 3965.0, 46.81
379, 6.297, 1/4/2020 11:20:05.775PM, 3953.0, 46.90
380, 6.314, 1/4/2020 11:20:05.792PM, 3925.0, 46.25
381, 6.331, 1/4/2020 11:20:05.809PM, 3932.0, 46.27
382, 6.347, 1/4/2020 11:20:05.825PM, 3928.0, 46.18
383, 6.364, 1/4/2020 11:20:05.842PM, 3932.0, 46.15
384, 6.381, 1/4/2020 11:20:05.859PM, 3945.0, 46.22
385, 6.397, 1/4/2020 11:20:05.875PM, 3982.0, 46.55
386, 6.414, 1/4/2020 11:20:05.892PM, 3987.0, 46.52
387, 6.431, 1/4/2020 11:20:05.909PM, 3978.0, 46.36
388, 6.447, 1/4/2020 11:20:05.925PM, 3962.0, 46.15
389, 6.464, 1/4/2020 11:20:05.942PM, 3965.0, 46.14
390, 6.48, 1/4/2020 11:20:05.959PM, 3968.0, 46.13
391, 6.497, 1/4/2020 11:20:05.975PM, 3988.0, 46.36
392, 6.514, 1/4/2020 11:20:05.992PM, 3978.0, 46.22
393, 6.53, 1/4/2020 11:20:06.009PM, 3962.0, 46.00
394, 6.547, 1/4/2020 11:20:06.025PM, 3926.0, 45.55
395, 6.564, 1/4/2020 11:20:06.042PM, 3899.0, 45.24
396, 6.58, 1/4/2020 11:20:06.058PM, 4035.0, 47.65
397, 6.597, 1/4/2020 11:20:06.075PM, 4105.0, 49.05
398, 6.614, 1/4/2020 11:20:06.092PM, 4037.0, 48.06
399, 6.63, 1/4/2020 11:20:06.108PM, 3964.0, 47.09
400, 6.647, 1/4/2020 11:20:06.125PM, 3909.0, 46.38
401, 6.664, 1/4/2020 11:20:06.142PM, 3843.0, 45.49
402, 6.68, 1/4/2020 11:20:06.158PM, 3782.0, 44.70
403, 6.697, 1/4/2020 11:20:06.175PM, 3722.0, 43.91
404, 6.714, 1/4/2020 11:20:06.192PM, 3700.0, 43.66
405, 6.73, 1/4/2020 11:20:06.208PM, 3662.0, 43.19
406, 6.747, 1/4/2020 11:20:06.225PM, 3614.0, 42.64
407, 6.764, 1/4/2020 11:20:06.242PM, 3566.0, 42.09
408, 6.78, 1/4/2020 11:20:06.258PM, 3521.0, 41.66
409, 6.797, 1/4/2020 11:20:06.275PM, 3475.0, 41.44
410, 6.814, 1/4/2020 11:20:06.292PM, 3438.0, 41.09
411, 6.83, 1/4/2020 11:20:06.308PM, 3423.0, 41.18
412, 6.847, 1/4/2020 11:20:06.325PM, 3422.0, 41.75
413, 6.864, 1/4/2020 11:20:06.342PM, 3383.0, 41.39
414, 6.88, 1/4/2020 11:20:06.358PM, 3307.0, 40.48
415, 6.897, 1/4/2020 11:20:06.375PM, 3216.0, 39.36
416, 6.914, 1/4/2020 11:20:06.392PM, 3131.0, 38.33
417, 6.93, 1/4/2020 11:20:06.408PM, 3103.0, 38.05
418, 6.947, 1/4/2020 11:20:06.425PM, 3085.0, 37.88
419, 6.964, 1/4/2020 11:20:06.442PM, 3057.0, 37.57
420, 6.98, 1/4/2020 11:20:06.458PM, 3032.0, 37.25
421, 6.997, 1/4/2020 11:20:06.475PM, 3033.0, 37.29
422, 7.014, 1/4/2020 11:20:06.492PM, 3043.0, 37.42
423, 7.03, 1/4/2020 11:20:06.508PM, 3037.0, 37.36
424, 7.047, 1/4/2020 11:20:06.525PM, 3014.0, 37.07
425, 7.064, 1/4/2020 11:20:06.542PM, 2941.0, 36.14
426, 7.08, 1/4/2020 11:20:06.558PM, 2904.0, 35.68
427, 7.097, 1/4/2020 11:20:06.575PM, 2894.0, 35.53
428, 7.114, 1/4/2020 11:20:06.592PM, 2896.0, 35.53
429, 7.13, 1/4/2020 11:20:06.608PM, 2883.0, 35.32
430, 7.147, 1/4/2020 11:20:06.625PM, 2814.0, 34.42
431, 7.164, 1/4/2020 11:20:06.642PM, 2775.0, 33.89
432, 7.18, 1/4/2020 11:20:06.658PM, 2776.0, 33.89
433, 7.197, 1/4/2020 11:20:06.675PM, 2749.0, 33.50
434, 7.213, 1/4/2020 11:20:06.692PM, 2725.0, 33.17
435, 7.23, 1/4/2020 11:20:06.708PM, 2688.0, 32.69
436, 7.247, 1/4/2020 11:20:06.725PM, 2675.0, 32.49
437, 7.263, 1/4/2020 11:20:06.742PM, 2701.0, 32.88
438, 7.28, 1/4/2020 11:20:06.758PM, 2731.0, 33.22
439, 7.297, 1/4/2020 11:20:06.775PM, 2756.0, 33.51
440, 7.313, 1/4/2020 11:20:06.792PM, 2748.0, 33.36
441, 7.33, 1/4/2020 11:20:06.808PM, 2693.0, 32.62
442, 7.347, 1/4/2020 11:20:06.825PM, 2682.0, 32.44
443, 7.363, 1/4/2020 11:20:06.841PM, 2652.0, 32.04
444, 7.38, 1/4/2020 11:20:06.858PM, 2644.0, 31.91
445, 7.397, 1/4/2020 11:20:06.875PM, 2638.0, 31.81
446, 7.413, 1/4/2020 11:20:06.891PM, 2650.0, 31.95
447, 7.43, 1/4/2020 11:20:06.908PM, 2649.0, 31.91
448, 7.447, 1/4/2020 11:20:06.925PM, 2647.0, 31.87
449, 7.463, 1/4/2020 11:20:06.941PM, 2675.0, 32.20
450, 7.48, 1/4/2020 11:20:06.958PM, 2706.0, 32.60
451, 7.497, 1/4/2020 11:20:06.975PM, 2740.0, 33.00
452, 7.513, 1/4/2020 11:20:06.991PM, 2781.0, 33.48
453, 7.53, 1/4/2020 11:20:07.008PM, 2892.0, 34.86
454, 7.547, 1/4/2020 11:20:07.025PM, 3021.0, 36.45
455, 7.563, 1/4/2020 11:20:07.041PM, 3063.0, 36.94
456, 7.58, 1/4/2020 11:20:07.058PM, 3017.0, 36.29
457, 7.597, 1/4/2020 11:20:07.075PM, 3013.0, 36.22
458, 7.613, 1/4/2020 11:20:07.091PM, 3017.0, 36.24
459, 7.63, 1/4/2020 11:20:07.108PM, 3049.0, 36.66
460, 7.647, 1/4/2020 11:20:07.125PM, 3065.0, 36.84
461, 7.663, 1/4/2020 11:20:07.141PM, 3081.0, 37.01
462, 7.68, 1/4/2020 11:20:07.158PM, 3095.0, 37.17
463, 7.697, 1/4/2020 11:20:07.175PM, 3114.0, 37.39
464, 7.713, 1/4/2020 11:20:07.191PM, 3115.0, 37.37
465, 7.73, 1/4/2020 11:20:07.208PM, 3118.0, 37.39
466, 7.747, 1/4/2020 11:20:07.225PM, 3128.0, 37.50
467, 7.763, 1/4/2020 11:20:07.241PM, 3146.0, 37.71
468, 7.78, 1/4/2020 11:20:07.258PM, 3170.0, 38.01
469, 7.797, 1/4/2020 11:20:07.275PM, 3173.0, 38.04
470, 7.813, 1/4/2020 11:20:07.291PM, 3187.0, 38.20
471, 7.83, 1/4/2020 11:20:07.308PM, 3172.0, 37.99
472, 7.847, 1/4/2020 11:20:07.325PM, 3160.0, 37.82
473, 7.863, 1/4/2020 11:20:07.341PM, 3162.0, 37.85
474, 7.88, 1/4/2020 11:20:07.358PM, 3167.0, 37.88
475, 7.897, 1/4/2020 11:20:07.375PM, 3182.0, 38.05
476, 7.913, 1/4/2020 11:20:07.391PM, 3209.0, 38.37
477, 7.93, 1/4/2020 11:20:07.408PM, 3227.0, 38.57
478, 7.946, 1/4/2020 11:20:07.425PM, 3236.0, 38.67
479, 7.963, 1/4/2020 11:20:07.441PM, 3237.0, 38.66
480, 7.98, 1/4/2020 11:20:07.458PM, 3230.0, 38.56
@@
