DATA_TYPE Graph
VERSION Tekscan Pressure Measurement System 7.50-09
HARDWARE 102-D849
MAP_VERSION 6.5
HW_TYPE 3
VersaPogoFsx 0
VersaV6CuffFsx 0
FILENAME C:\Users\mharty\Documents\Customers\Xpolsion Tech\JameJ04 trial 1 squat.fsx
SENSOR_TYPE 3150
ROWS 44
COLS 52
ROW_SPACING 0.8382 centimeters
COL_SPACING 0.8382 centimeters
SENSEL_AREA 0.702579 cm2
NOISE_THRESHOLD 3
SECONDS_PER_FRAME 0.016667
MICRO_SECOND 1
TIME 1/4/2020 11:19:59.478PM
SATURATION_PRESSURE 81.206 PSI 
CALIBRATION_POINT_1 77.1107 (Kilograms) 4902 (Raw Sum) 193 (Number of Loaded Cells)
CALIBRATION_MODE_1 Step
CALIBRATION_INFO C:\Users\mharty\Documents\Customers\Xpolsion Tech\JameJ04 trial 1 squat.fsx
SENSITIVITY Custom (125/250@1x)
MAP_INDEX 0
SUBMAP 0
START_FRAME 1
END_FRAME 480
UNITS cm2
ASCII_DATA @@
Frames(X), Time(X), Absolute Time(X), Raw Sum, Area(Y:green)
465, 7.73, 1/4/2020 11:20:07.208PM, 3118.0, 115.22
466, 7.747, 1/4/2020 11:20:07.225PM, 3128.0, 115.22
467, 7.763, 1/4/2020 11:20:07.241PM, 3146.0, 115.93
468, 7.78, 1/4/2020 11:20:07.258PM, 3170.0, 115.93
469, 7.797, 1/4/2020 11:20:07.275PM, 3173.0, 115.93
470, 7.813, 1/4/2020 11:20:07.291PM, 3187.0, 116.63
471, 7.83, 1/4/2020 11:20:07.308PM, 3172.0, 115.93
472, 7.847, 1/4/2020 11:20:07.325PM, 3160.0, 115.93
473, 7.863, 1/4/2020 11:20:07.341PM, 3162.0, 116.63
474, 7.88, 1/4/2020 11:20:07.358PM, 3167.0, 116.63
475, 7.897, 1/4/2020 11:20:07.375PM, 3182.0, 116.63
476, 7.913, 1/4/2020 11:20:07.391PM, 3209.0, 116.63
477, 7.93, 1/4/2020 11:20:07.408PM, 3227.0, 116.63
478, 7.946, 1/4/2020 11:20:07.425PM, 3236.0, 116.63
479, 7.963, 1/4/2020 11:20:07.441PM, 3237.0, 116.63
480, 7.98, 1/4/2020 11:20:07.458PM, 3230.0, 116.63
@@
