ankleAngleX, ankleAngleY, ankleAngleZ, lowLegAngleMag,lowLegAngleX, lowLegAngleY, lowLegAngleZ, lowLegAngleVeloMag, lowLegAngleVeloX, lowLegAngleVeloY, lowLegAngleVeloZ, lowLegAngleAccelX, lowLegAngleAccelY, lowLegAngleAccelZ, footAngleMag, footAngleX, footAngleY, footAngleZ, footAngleVeloMag, footAngleVeloX, footAngleVeloY,  footAngleVeloZ, footAngleAccelMag, footAngleAccelX, footAngleAccelY, footAngleAccelZ, footPosMag, footPosX, footPosY, footPosZ,footSpeedMag, footSpeedX, footSpeedY, footSpeedZ, footAccelMag, footAccelX, footAccelY, footAccelZ, lowLegPosMag, lowLegPosX, lowLegPosY, lowLegPosZ, lowLegSpeedMag, lowLegSpeedX, lowLegSpeedY, lowLegSpeedZ, lowLegAccelMag, lowLegAccelX, lowLegAccelY, lowLegAccelZ, medGastro, tibAnterior,
-2.914767,-4.3679814,-2.34923,4.8949914,-0.14873603,-4.4178853,-2.1026428,0.020044334,0.017015196,0.009298885,0.0050783064,-0.16446769,-0.024237456,0.162732,5.7527394,2.914767,4.3679814,2.3492298,0.0057726298,0.0037629607,0.0018673949,-0.0039593205,0.024497686,0.024497686,0.0,0.0,0.94452554,-0.1509797,-0.916951,0.16892153,0.009248692,0.0019049644,0.000104904175,-0.009049773,0.08278867,0.018644333,0.008583069,0.08020401,0.8924689,-0.13659853,-0.8796116,0.06422654,0.009136969,0.0018572807,0.00044107437,-0.008935332,0.08393053,0.015115738,0.013446808,0.08145571,9.660828,1.2754108,
-2.9005167,-4.358429,-2.3460865,4.8432803,-0.13574481,-4.361282,-2.101941,0.0162205,0.013439368,0.0084942095,0.0032150287,-0.14303312,0.011060527,0.14633355,5.736987,2.9005167,4.358429,2.3460863,0.0042734547,0.0036844923,0.002143908,-0.0003009818,0.003138734,-0.003138734,0.0,0.0,0.94448316,-0.15091997,-0.916955,0.1687161,0.0085588135,0.0023889542,-0.00015974045,-0.008217096,0.039952643,0.019359589,-0.010585785,0.033307076,0.89244056,-0.13654414,-0.87960607,0.06402376,0.00840063,0.0021755695,0.00022172928,-0.008111,0.03641854,0.012731552,-0.008773804,0.03297329,9.228977,1.1417433,
-2.8883271,-4.35815,-2.3469028,4.831685,-0.12902263,-4.3465185,-2.1062548,0.011908935,0.011499405,0.0028222138,0.0012734014,-0.07759854,0.03469633,0.029223796,5.730957,2.8883271,4.358151,2.346903,0.0042864545,0.0030201161,0.0030113163,0.0004296131,0.026575048,-0.026575048,0.0,0.0,0.9444481,-0.15086055,-0.9169664,0.16851093,0.008556396,0.0023770332,-0.0004553795,-0.008206964,0.011842109,-0.00047683716,-0.0118255615,0.00040531158,0.8924214,-0.13649298,-0.8796094,0.063820325,0.008391911,0.0020462275,-0.0001335144,-0.008137524,0.015159471,-0.005173683,-0.014209747,-0.0010609627,9.195012,1.0303537,
-2.8771818,-4.3671565,-2.3479598,4.8464527,-0.12729278,-4.361808,-2.1086802,0.010143085,0.009656247,-0.003103389,8.978403E-05,-0.073726326,0.020684954,-0.047365297,5.7326393,2.8771818,4.3671575,2.3479595,0.0042165103,0.00218169,0.0035284401,-0.00075451925,0.033537045,-0.033537045,0.0,0.0,0.94441795,-0.15084094,-0.91697484,0.16831324,0.007953765,0.0007843971,-0.00033855438,-0.007907748,0.06498822,-0.063705444,0.004673004,0.011968613,0.89240867,-0.13648191,-0.87961245,0.0636234,0.007890428,0.0004428625,-0.000121593475,-0.007877052,0.064977124,-0.0641346,0.00047683716,0.010418892,9.534669,0.9468115,
-2.8662398,-4.378331,-2.3520966,4.861784,-0.12804872,-4.3786983,-2.1089213,0.009623857,0.007983898,-0.005152399,-0.0015260361,-0.06689396,-0.017480273,0.01830072,5.7373753,2.8662398,4.3783317,2.3520968,0.0031275174,0.00036904513,0.0030914333,-0.00029700127,0.07250579,-0.07250579,0.0,0.0,0.9443846,-0.15087384,-0.9169678,0.16813517,0.007248781,-0.0013160706,0.00028133392,-0.007122755,0.09305861,-0.08401871,0.024795532,0.031399727,0.8923944,-0.13652264,-0.8796045,0.06344454,0.0073443064,-0.0016289949,0.0003170967,-0.0071543455,0.08950841,-0.0828743,0.017547607,0.028908253,9.631714,0.85213035,
-2.850723,-4.3887625,-2.3585544,4.8722997,-0.12426727,-4.3889217,-2.112162,0.010486983,0.008477361,-0.0050775926,-0.003511297,0.019738525,-0.009095548,-0.03593441,5.7402644,2.8507228,4.3887625,2.3585544,0.0040314673,-0.0025731474,0.0028640446,-0.0011953616,0.1176877,-0.1176877,0.0,0.0,0.9443502,-0.1509347,-0.9169512,0.16797802,0.0067735277,-0.0024342537,0.00066518784,-0.006285906,0.057937816,-0.044727325,0.0153541565,0.03347397,0.892384,-0.13658987,-0.8795951,0.06328401,0.006971835,-0.0026893616,0.00037670135,-0.0064212084,0.051620465,-0.042414665,0.0023841858,0.029325485,8.879616,0.70732385,
-2.830761,-4.398954,-2.3636768,4.8621206,-0.117583066,-4.374715,-2.1185513,0.012120186,0.010282734,-0.0040061404,-0.005011499,0.07221494,0.0394712,-0.11697848,5.740293,2.830761,4.3989534,2.3636768,0.0067311754,-0.0036751765,0.0038508247,-0.0041198237,0.044081163,-0.044081163,0.0,0.0,0.9443241,-0.15100494,-0.91694427,0.16780539,0.007460095,-0.002809763,0.00027656555,-0.006905198,0.03287692,-0.0150203705,-0.015544891,-0.02477169,0.8923872,-0.13666633,-0.8795992,0.06310655,0.0077308766,-0.0030583143,-0.00016450882,-0.007098317,0.037683118,-0.01475811,-0.021648407,-0.02708435,7.545247,0.5625174,
-2.8120618,-4.4065304,-2.368256,4.8434157,-0.11491125,-4.348652,-2.1294835,0.011672062,0.010054646,-0.001457819,-0.0057459446,-0.009123534,0.02704272,-0.035206676,5.738802,2.8120618,4.406531,2.368256,0.0074070455,-0.0030613164,0.0045268927,-0.0049999906,0.024554403,0.024554403,0.0,0.0,0.94430065,-0.15104726,-0.91694725,0.16761929,0.0076349974,-0.0016927719,-0.00011920929,-0.007444024,0.052071337,0.04467964,-0.015830994,-0.02155304,0.89239395,-0.13671583,-0.879612,0.06291596,0.007893333,-0.0019800663,-0.00051259995,-0.007623732,0.049957536,0.04312992,-0.013923645,-0.021016598,6.778592,0.4789752,
-2.798302,-4.4060426,-2.37174,4.831072,-0.114780106,-4.329061,-2.1413338,0.011251359,0.008756192,0.0040597944,-0.0057827546,-0.051938146,-0.011258889,0.0012425706,5.7331367,2.798302,4.4060426,2.3717399,0.0066301078,-0.0011155731,0.0042454205,-0.0049689263,0.07782973,0.07782973,0.0,0.0,0.94427997,-0.15107375,-0.91695213,0.16745196,0.006779208,-0.0010597706,-0.00019550323,-0.0066930056,0.0394064,0.025320053,-0.0030517578,0.030040741,0.8923965,-0.13674879,-0.8796216,0.06274607,0.0069328807,-0.0013184547,-0.0003838539,-0.0067955256,0.042712647,0.026464462,0.0051498413,0.03312826,7.3705664,0.46226677,
-2.7870126,-4.397697,-2.3740199,4.8144765,-0.117209986,-4.307254,-2.1477923,0.013202528,0.008366479,0.009057561,-0.004719042,-0.015588552,-0.023411512,0.030538402,5.7221627,2.7870126,4.397697,2.3740194,0.005575514,6.1961444E-05,0.0036601326,-0.0042054662,0.047101382,0.047101382,0.0,0.0,0.94425803,-0.15110822,-0.91695637,0.16727394,0.0072551714,-0.0013786554,-0.00016927719,-0.007120967,0.021373862,-0.012755394,0.0010490417,-0.017118454,0.8923955,-0.13678893,-0.87962717,0.062566794,0.0073519615,-0.0016057491,-0.00022172928,-0.007171035,0.019993186,-0.0114917755,0.0064849854,-0.0150203705,8.341016,0.52910054,
-2.7751186,-4.386923,-2.375848,4.79385,-0.12255582,-4.283699,-2.148464,0.013950951,0.009206987,0.010032179,-0.0030357572,0.033620335,-0.028593577,0.05509818,5.708856,2.7751186,4.386924,2.3758485,0.0041083796,0.00045428806,0.0029452932,-0.0028280118,0.015693065,0.015693065,0.0,0.0,0.94422776,-0.1511454,-0.91696,0.16704936,0.009106442,-0.0014871359,-0.00014543533,-0.008983016,0.07461435,-0.004339218,0.0009536743,-0.074481964,0.8923896,-0.1368312,-0.8796306,0.06234159,0.009166471,-0.0016903877,-0.00013828278,-0.009008199,0.0736402,-0.0033855438,0.00333786,-0.07348657,8.452618,0.6460596,
-2.75988,-4.3748713,-2.3768902,4.780273,-0.12511136,-4.2692213,-2.1468832,0.015240539,0.011977876,0.009365589,-0.0010441467,0.110835545,-0.05940704,0.044176523,5.6926312,2.75988,4.3748717,2.3768902,0.0024593084,0.0009723493,0.0014601172,-0.0017235987,0.020722449,0.020722449,0.0,0.0,0.9441863,-0.15116444,-0.91696316,0.16678,0.010802364,-0.00076174736,-0.00012636185,-0.010774732,0.07732319,0.029015541,0.00076293945,-0.071668625,0.89237547,-0.13685244,-0.87963194,0.062072605,0.010793031,-0.00084996223,-5.2452087E-05,-0.010759383,0.077772275,0.03361702,0.0034332275,-0.07004738,7.8654957,0.74631023,
-2.7422378,-4.365937,-2.3764906,4.7765274,-0.120220765,-4.2655535,-2.1461155,0.015766758,0.014524179,0.0061344914,8.3173625E-05,0.10185212,-0.041529767,-0.009417124,5.6770573,2.7422378,4.3659368,2.3764904,0.0029307602,0.002138596,0.00042187294,-0.0019590268,0.04664987,0.04664987,0.0,0.0,0.9441381,-0.15117136,-0.9169632,0.16650043,0.011185847,-0.00027656555,-2.3841858E-06,-0.011182427,0.025829833,0.019407272,0.0049591064,-0.01630783,0.89235234,-0.13685864,-0.87962705,0.061794892,0.011113005,-0.00024795532,0.00019550323,-0.011108518,0.02955101,0.024080276,0.009918213,-0.013965368,7.0794315,0.79643553,
-2.7288122,-4.367955,-2.3792872,4.7796135,-0.110117,-4.2687807,-2.1471124,0.012537874,0.012373662,-0.0017438773,-0.0010245463,-0.08602068,-0.01064996,0.04980223,5.6733103,2.7288122,4.3679547,2.379287,0.0029876593,0.002896918,0.00015562396,-0.0007139711,0.030332878,0.030332878,0.0,0.0,0.9440891,-0.15120967,-0.9169465,0.16628015,0.008968677,-0.0015324354,0.0006699562,-0.008811355,0.110643476,-0.050234795,0.026893616,0.09484291,0.8923194,-0.13689668,-0.87960297,0.061577246,0.008890178,-0.0015217066,0.00096321106,-0.008705854,0.11302819,-0.05095005,0.030708313,0.09610653,6.453491,0.802005,
